player,team,height,weight
Day'Ron Sharpe,BKN,205.74,120.20188
De'Aaron Fox,SAC,190.5,83.91452
De'Andre Hunter,ATL,203.2,100.243832
De'Anthony Melton,PHI,187.96,90.7184
DeAndre Jordan,DEN,210.82,120.20188
DeAndre Liggins,NOP,198.12,94.800728
DeAndre' Bembry,MIL,195.58,95.25432
DeJon Jarreau,IND,195.58,83.91452
DeJuan Blair,WAS,200.66,122.46984
DeJuan Wheat,VAN,182.88,74.84268
DeMar DeRozan,CHI,198.12,99.79024
DeMarco Johnson,NYK,205.74,111.13004
DeMarcus Cousins,DEN,208.28,122.46984
DeMarcus Nelson,GSW,193.04,90.7184
DeMarre Carroll,HOU,198.12,97.52228
DeQuan Jones,ORL,203.2,100.243832
DeSagana Diop,CHA,213.36,127.00576
DeShawn Stevenson,ATL,195.58,98.883056
DeVaughn Akoon-Purcell,DEN,198.12,90.7184
Dean Garrett,GSW,210.82,113.398
Dean Oliver,GSW,180.34,79.3786
Dean Wade,CLE,205.74,103.418976
Deandre Ayton,PHX,213.36,113.398
Dedric Willoughby,CHI,190.5,81.64656
Dee Brown,PHX,182.88,83.91452
Deividas Sirvydis,DET,203.2,86.18248
Dejounte Murray,ATL,195.58,81.64656
Dell Curry,TOR,195.58,92.98636
Dell Demps,ORL,190.5,92.98636
Delon Wright,WAS,195.58,83.91452
Delonte West,DAL,190.5,81.64656
Demetris Nichols,NYK,203.2,97.975872
Demetrius Jackson,PHI,185.42,91.171992
Deng Adel,CLE,200.66,90.7184
Deng Gai,PHI,205.74,113.398
Deni Avdija,WAS,205.74,95.25432
Dennis Horner,NJN,205.74,104.32616
Dennis Rodman,DAL,200.66,95.25432
Dennis Schroder,LAL,185.42,78.017824
Dennis Scott,VAN,203.2,103.872568
Dennis Smith Jr.,CHA,187.96,92.98636
Denzel Valentine,UTA,193.04,99.79024
Deonte Burton,SAC,193.04,108.86208
DerMarr Johnson,SAS,205.74,95.25432
Derek Anderson,CHA,195.58,88.45044
Derek Fisher,OKC,185.42,95.25432
Derek Grimm,SAC,205.74,104.32616
Derek Harper,LAL,193.04,93.439952
Derek Hood,CHH,203.2,104.32616
Derek Strong,LAC,205.74,108.86208
Dereon Seabron,NOP,195.58,81.64656
Deron Williams,CLE,190.5,90.7184
Derrick Alston,ATL,210.82,102.0582
Derrick Brown,CHA,203.2,105.68693600000002
Derrick Byars,SAS,200.66,99.79024
Derrick Caracter,LAL,205.74,124.7378
Derrick Coleman,DET,208.28,122.46984
Derrick Dial,ORL,193.04,83.46092800000001
Derrick Favors,OKC,205.74,120.20188
Derrick Jones Jr.,CHI,198.12,95.25432
Derrick McKey,PHI,208.28,109.315672
Derrick Rose,NYK,190.5,90.7184
Derrick Walton Jr.,DET,182.88,83.91452
Derrick White,BOS,193.04,86.18248
Derrick Williams,LAL,203.2,108.86208
Derrick Zimmerman,NJN,190.5,88.45044
Desmon Farmer,SAS,195.58,99.79024
Desmond Bane,MEM,195.58,97.52228
Desmond Ferguson,POR,200.66,95.25432
Desmond Mason,SAC,195.58,100.697424
Desmond Penigar,ORL,200.66,111.13004
Detlef Schrempf,POR,208.28,106.59412
Devean George,GSW,203.2,106.59412
Devin Booker,PHX,195.58,93.439952
Devin Brown,CHI,195.58,95.25432
Devin Cannady,ORL,187.96,83.007336
Devin Ebanks,LAL,205.74,97.52228
Devin Gray,HOU,200.66,108.86208
Devin Green,LAL,200.66,96.161504
